juger ;;pe-huwäi-aman 
signe, son signe, sa marque ;hin, hina-n ;hin, hine-n ;hin, hine-n ;hin, hine-n ;hin, hine-n 
choisir, trier ;thamwi ;thamwi ;thamei ;thamwi ;hnyamwi 
mesurer, peser ;hnengi ;hnengi ;hnengi ;hnengi ;hnyengi 
balance ;be-hneng ;ba-hneng ;ba-hneng ;ba-hneng ;ba-hnyeng 
mesurer par brasse ;;halam ;hatam ;halan ;halam 
sa longueur, sa taille ;dahma-n (T) ;dahme-n ;dahma-n ;hwaye-n ;hwaye-n 
pareil, semblable, comme lui ;pe-homsa-n (7) ;homaa-n ;hwemaa-n ;hwemaa-n ;sSumae-n 
pareil, semblable ;;;;hweyene-n 
comme ceci ;hwanaana ({T) ;hônaana ;hwenaana ;hwenaana ;suena (}) suenaaxa (W) 
comme cela ;huahni (T) ;hôni ;hwehni ;hweni/ hueliili ;(W) sueni sueni / suelixi (Y) 
imiter ;pe-weic (T) ;pe-weic ;pe-hwiooc ;pe-wiooc ;po-hwiooc (Y) pe-wiooc (W) 
compter, énumérer, réciter ;vhine ;vhine ;ti fine ;fine ;phinee 
écrire, lettre, livre ;tii ;tii ;;tii ;tii 
lire ;vhine tii ;vhine tii ;fine ti petaa ;fine tii ;phinee tii 
enseigner, apprendre ;petaa (T) vetaa (0) ;petaa ;;petaa ;pecaa 
enseigner, apprendre, école ;somu (T) ;somu ;fine ti ;somu ;somu 
moniteur, instituteur ;ka-po-somu (T) ;ka-somu ;ka-fine ti ;ka-somu ;ka-somu 
partager ;nyame/ pe-nyame (7) ;nyame ;nyame/ pe-nyame ;nyame ;paree/ pe-pare (}} nyame (W) 
faire des parts (vivres) ;mwathôi (T) ;mwarhôi ;mwatnoi ;mwanoi ;mwaroi 
il yen a ;pwa ;fwâ ;pnwa ;pmwa ;phuä fy]) pmwa (#} 
il n'y en a pas ;koi ;koi ;koi ;koi ;koi 
peu ;hoyuk (T) ;hoyuk ;hohyuk ;hoyuk ;hoyiic (7) hoyeec (W) 
beaucoup ;haî (T) ;haï ;haï ;haî ;hai 
en groupe, nombreux ;puman {T) ;pumen ;pumen ;pumen ;pumen 
groupés par deux ;pe-hyeka-n (T) ;pe-hyexe-le ;pe-hyeke-Lle ;pe-hyexe-Lle ;pe-hyexe-Lle 
assez, ça suffit, ça va! tous ;u koin {T) jewan (T) ;sowen, sowe-le ;sopwen, sopwe-le ;sowen, sowe-le ;sowen, sowe-le 
