et, avec ;ma man ;ma ;ma ;ma ;maa 
et, ainsi que, aussi ;;men ;men ;men ;men 
ou, ou bien ;a ;ai ;a ;aa ;aa 
puis, et puis, ensuite ;La/ Lakon ;ra ;mwakon ;mwa/ mwaan ;ra/ raan (Y) da/ daon (W) 
et, alors ;o ;;ko ;o ;o 
quant à ... alors (introduit un thème) ;pwa ... (hido) ;fwä ... o ;pmwa ... ko ;pmwavo ... oO ;phwëä ... o 
(pause au cours hido !, alors ! bon des récits) ;;hido ;hido ;hido ;hijo 
Kaapo et Hike (noms de filles de chef) ;kaapo ma hiîke ;kaavo ma hixe ;kaapo ma hîke ;kKaavo ma hixe ;kaavo ma hixe 
il va avec le chef ;yilu me han ma-m daahma ;yelu me hen ma-m daahma ;yelu me hngen ma-m daahma ;yelu me hen ma-m daama 
ignames et taros ;kuuk man wahmu ;kuuk men hyo ;kuuk me hyo nei thook a nei vap ;kuuk men hyo nei thook aa) nei vap ;küic men hyo deye thook aa deye vap 
nous pêchons à l'épuisette ou bien nous chassons ;naï-m kehlook a nai-m vap ;nei-n thook ai nei-n vap 
il monte, puis arrive en haut ;nya ta La hma-ta ;ye ta ra hma-ra ;;ye ta mwa hma-ra ye moo moo mwaan ye u hedec ;xe ta ra thao-ta (Y) xe moo MOO raan xe u henec (Y) 
11 reste, reste, et puis il s'en va ;nya moo moo Lakon nya u hadec ;ye moo moo ra ye u hedec ;ye moo moo mwakon ye u hngedec 
j'ouvre ferme les yeux et je les ;yo-m noot Oo maauc ;Wo-n noot Oo maauc ;;wo-n noon © maauc ;mo-n noon o maayim 
alors il dit ... ;o nya peei ... ;o ye peei ... ;pmwa vi hnook ko ye knohuleeng ;o ye peei ... pmwavo vi hnook o ye knouleeng ;o xe peei ... phwää di hnemo o xe khèixa (Y)
quant à la femme, elle dort ;pwa vi thoomwa nya-m khôhuleeng ;fuà veli hnook o ye khôuleeng 
